1,22,27,31,57,62,64,Ideology,Group,Website
,Apache,,,,,,KKK,Loyal White Knights of the Ku Klux Klan,http://www.kkkknights.com/
Drupal,,PHP,Cloudflare,,,,Anti-Immigrant,Center for Immigration Studies,https://cis.org/
WordPress,,PHP,Cloudflare,,,,Neo-Confederate,League of the South,https://leagueofthesouth.com/
,Nginx,,,,SiteGround,Nginx,Anti-Muslim,"United West, The",https://www.theunitedwest.org/
,Apache,,,,,,Anti-Immigrant,Legal Immigrants for America,https://www.golifa.com/
,"Nginx, OpenResty",Lua,,,,Nginx,Anti-Immigrant,ProEnglish,https://proenglish.org/
,Nginx,,,,,Nginx,Anti-LGBT,American College of Pediatricians,https://acpeds.org/
,"Nginx, OpenResty",Lua,,,,Nginx,Anti-Muslim,Virginia Christian Alliance,https://vachristian.org/
,Apache,,,,,,Anti-LGBT,American Family Association Pennsylvania,http://afaofpa.org/
,,,Cloudflare,,,,Black Nationalist,All Eyes On Egipt Bookstore,https://alleyesonegiptchgo.webs.com/
Drupal,,PHP,Cloudflare,,,,Christian Identity,Christogenea,https://christogenea.org/
,Phusion Passenger,,Cloudflare,,,,Hate Music & Neo-Nazi,Behold Barbarity,https://www.storenvy.com/?utm_campaign=store404redirect&utm_medium=redirect&utm_source=system
,"Nginx, OpenResty",Lua,,,,Nginx,Hate Music & Neo-Nazi,United Riot Records,https://www.tumblr.com/search_no_results
,,,,,,,Rad Catholics,Culture Wars/Fidelity Press,https://culturewars.com/
,,,,,,,Black Nationalist,War On The Horizon,http://waronthehorizon.com/
,Apache,,,,,,Anti-LGBT,D. James Kennedy Ministries,https://www.djameskennedy.org/
WordPress,,PHP,Cloudflare,,,,Neo-Confederate,The Right Stuff Radio,https://therightstuff.biz/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,American Front,http://ww38.americanfront.org/
,Nginx,,,,,Nginx,Black Nationalist,Nation of Islam,https://addr.ws/the-nation-of-islam-lexington-ky-study-group--lexington-us.html
,Apache,,,,,,Rad Catholics,Tradition in Action,https://www.traditioninaction.org/
WordPress,Apache,PHP,,,,,Rad Catholics,Most Holy Family Monastery,https://www.mostholyfamilymonastery.com/
WordPress,Nginx,,,,Automattic,Nginx,Hate Music & Neo-Nazi,Attack the System,https://attackthesystem.com/
,"Nginx, OpenResty",Lua,,,,Nginx,Anti-LGBT,Conservative Republicans of Texas,https://crtpac.com/
,Nginx,,,,,Nginx,Holocaust Denial,Truth Will Out Films,https://twofilms.tv/
,,,Cloudflare,,,,Holocaust Denial,Committee for Open Debate on the Holocaust,https://codoh.com/
WordPress,Apache,PHP,,,,,KKK,White Pride Radio,https://altrighttv.com/
Wix,Nginx,,,,,Nginx,Christian Identity,America's Promise Ministries,https://www.americaspromiseministries.org/
WordPress,Apache,PHP,,,,,Holocaust Denial,Barnes Review/Foundation for Economic Liberty,https://barnesreview.org/
,,,Cloudflare,,,,Holocaust Denial,Righteous Jews,https://www.righteousjews.org/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,The Creativity Alliance,https://creativityalliance.com/
,,,Cloudflare,,,,KKK,Great Lake Knights,https://greatlakesknights.my-free.website/
,IIS,,Cloudflare,,,,Anti-LGBT,MaineResistance (chapter of Mass Resistance),https://www.hugedomains.com/domain_profile.cfm?d=reclaimvirtue&e=com
,,,Cloudflare,,,,Anti-LGBT,MassResistance,https://www.massresistance.org/
,,,,,,,Hate Music & Neo-Nazi,Heathens Motorcycle Club,https://heathensmf.com/
WordPress,,PHP,Cloudflare,,SiteGround,,General Hate,American Clarion,https://www.americanclarion.com/
,,,,,,,Neo-Confederate,The Free Magnolia,https://freemagnolia.org/
WordPress,Nginx,PHP,,,,Nginx,Anti-LGBT,Pacific Justice Institute,https://www.pacificjustice.org/
,Apache,PHP,,,,,Hate Music & Neo-Nazi,MSR Productions,https://msrproductions.com/
WordPress,Nginx,,,,Automattic,Nginx,Anti-Muslim,Refugee Resettlement Watch,http://refugeeresettlementwatch.wordpress.com/
,,,,,,,Holocaust Denial,Gilad Atzmon,https://gilad.online/
,IIS,,Cloudflare,,,,Hate Music & Neo-Nazi,Crew38 & Hammerskin Nation forum,https://www.hugedomains.com/domain_profile.cfm?d=crew38&e=com
,,,Cloudflare,,,,KKK,Great Lakes Knights,https://greatlakesknights.my-free.website/
,Apache,,,,,,Anti-LGBT,Mission: America,https://www.missionamerica.com/
WordPress,Apache,PHP,,,,,Anti-LGBT,Probe Ministries,https://probe.org/
WordPress,,PHP,Cloudflare,,,,General Hate,American Free Press,https://americanfreepress.net/
,Apache,,,,,,Anti-LGBT,Pilgrims Covenant Church (WI),https://www.pccmonroe.org/
WordPress,Nginx,PHP,,,,Nginx,Anti-LGBT,"Pray in Jesus Name Project, the",https://www.prayinjesusname.org/
,Apache,,,,,,Hate Music & Neo-Nazi,American Viking Clothing,https://www.americanvikings.com/
,IIS,PHP,,,,,White Nationalist,Rense Radio,https://rense.com//
,Nginx,,,,,Nginx,White Nationalist,NPI,https://nationalpolicy.institute/
,IIS,,,,,,Anti-Muslim,Truth in Love Project,https://www.tilproject.com/
,Apache,"Perl, PHP",,,,,Anti-LGBT,Liberty Counsel,https://www.lc.org/
WordPress,Apache,PHP,,,,,Black Nationalist,Nation of Islam,https://noidc.org/
WordPress,Apache,PHP,,,,,Christian Identity,Anglo-Saxon Israel,https://anglo-saxonisrael.com/
,Apache,,,,,,Black Nationalist,Nation of Islam,https://wildcard.hostgator.com/
,IIS,,Cloudflare,,,,Hate Music & Neo-Nazi,Supreme White Alliance,https://www.hugedomains.com/domain_profile.cfm?d=swa43&e=com
,,,Cloudflare,,,,Rad Catholics,"Remnant, The/The Remnant Press",https://remnantnewspaper.com/web/index.php
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,nan,https://reviewskart.co.uk/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Parasitic Records,https://bandcamp.com/tag/parasitic-records
,Apache,,,,,,Black Nationalist,New Black Panther Party for Self Defense,https://www.nbppnational.org/
WordPress,Apache,PHP,,,,,Anti-Muslim,Citizens for National Security,https://cfns.us/
,IIS,,,,,,Hate Music & Neo-Nazi,National Alliance Reform and Restoration Group,http://www.narrg.com/
,Apache,,,,,,Hate Music & Neo-Nazi,Get Some 88,http://www.getsome88.com/
WordPress,Apache,PHP,,,,,Neo-Confederate,Southern Agrarian,http://www.southernagrarian.com/
,Apache,,,,,,Black Nationalist,Nation of Islam,https://etrigg.com/location/muhammad-mosque-3-4202-n-teutonia-ave-53209-milwaukee-united-states/2988321/
,IIS,,Cloudflare,,,,Hate Music & Neo-Nazi,Supreme White Alliance,https://www.hugedomains.com/domain_profile.cfm?d=swa43&e=com
,,PHP,Cloudflare,,,,KKK,Rebel Brigade Knights of the Ku Klux Klan,http://rebelbrigadeknightstrueinvisibleempire.yolasite.com
Drupal,Apache,PHP,,,,,Christian Identity,Fellowship of God's Covenant People,http://fgcp.org/
,Apache,,,,,,Christian Identity,Christian Identity Church,http://christianidentitychurch.net/
,,,,,,,White Nationalist,H.L. Mencken Club,http://hlmenckenclub.org/
WordPress,Apache,PHP,,,,,Rad Catholics,In the Spirit of Chartres Committee,https://isoc.ws/
,IIS,,Cloudflare,,,,Black Nationalist,Nation of Islam,https://v1.noi.org/reg_western_region.htm
,Apache,,,,,,Holocaust Denial,Irving Books,https://irvingbooks.com/xcart/home.php
,,,,,,,General Hate,Christian Anti-Defamation Commission,http://www.defendchristians.org/
,Apache Traffic Server,,,,,,Black Nationalist,Israelite School of Universal Practical Knowledge,http://www.isupk.org/
,,,,,,,Hate Music & Neo-Nazi,Golden State Skinheads/Solidarity,http://www.goldenstateskinheads.net/
,,,,,,,Anti-Muslim,III% Security Force,http://www.iiisecurityforce.com/
,,,,,,,Hate Music & Neo-Nazi,Stomp Out Child Abuse Compilation,http://www.chesterstomp.com/store.html
,Apache,,,,,,Rad Catholics,IHM Media,http://ihmmedia.net/
,Nginx,,,,,Nginx,Black Nationalist,All Eyes on Egipt Bookstore,http://www.thenationspeaks.org/
,Apache,PHP,,,,,Hate Music & Neo-Nazi,Label 56,http://www.label56.com/
,,,,,,,Hate Music & Neo-Nazi,American Viking Clothing,http://americanvikings.us
,Nginx,,,,,Nginx,Anti-Muslim,Team America Political Action Committee,https://teamamericapac.com/
WordPress,,PHP,Cloudflare,,,,White Nationalist,The Political Cesspool,https://www.thepoliticalcesspool.org/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Hells Headbangers,https://hellsheadbangers.bandcamp.com/
WordPress,,PHP,Cloudflare,,WP Engine,,Neo-Confederate,Faith And Heritage,http://faithandheritage.com/
WordPress,,PHP,Cloudflare,,WP Engine,,White Nationalist,Faith and Heritage,https://faithandheritage.com/
,Apache,,,,,,Christian Identity,Yahweh's Truth,http://www.jameswickstrom.com/cgi-sys/suspendedpage.cgi
Wix,Nginx,,,,,Nginx,General Hate,Insight USA,https://www.insightusa.us/
,Apache,,,,,,Anti-Muslim,American Freedom Law Center,https://www.americanfreedomlawcenter.org/
,Apache,,,,,,Anti-LGBT,"Campus Ministry, USA, The",http://www.brojed.org/cms/
,"Nginx, OpenResty",Lua,,,,Nginx,Anti-Muslim,Secure Michigan,http://ww7.securemichigan.org/
,,,Cloudflare,,,,Hate Music & Neo-Nazi,American Nazi Party,https://www.americannaziparty.com/
WordPress,Apache,PHP,,,,,Anti-Muslim,Understanding the Threat,https://www.understandingthethreat.com/
WordPress,,PHP,Cloudflare,,,,Anti-LGBT,American Vision,https://americanvision.org/
,Apache,,,,,,General Hate,National Prayer Network,https://truthtellers.org/index.html
,,PHP,Cloudflare,,,,Anti-LGBT,Westboro Baptist Church,https://www.godhatesfags.com/
WordPress,,PHP,Cloudflare,,,,Anti-Muslim,Bare Naked Islam,https://www.barenakedislam.com/
WordPress,,PHP,Cloudflare,,WP Engine,,White Nationalist,American Renaissance,https://www.amren.com/
WordPress,,PHP,Cloudflare,,,,Anti-LGBT,United Families International,https://www.unitedfamilies.org/
,,,Cloudflare,,,,Black Nationalist,Nation of Islam,https://muhammadmosque24.webs.com/
,Tengine,PHP,,,,,KKK,Texas Rebel Knights,https://www.texasrebelknightskkk.com/
WordPress,Apache,PHP,,,,,Black Nationalist,Nation of Islam,http://www.noiatlanta.org/
,Apache,,,,,,Hate Music & Neo-Nazi,nan,https://www.combat18.com/
WordPress,Apache,PHP,,,,,White Nationalist,Traditionalist Youth Network,https://www.tradyouth.org/
,Cowboy,Erlang,,,,,Anti-LGBT,Generations with Vision (CO),https://www.generations.org/
,"Nginx, OpenResty",Lua,,,,Nginx,KKK,United Northern and Southern Knights of the Ku Klux Klan,http://ww7.unskkkk.com/
WordPress,Apache,PHP,,,,,Anti-Muslim,"Straight Way and More, The",https://www.thestraightway.org/
WordPress,,PHP,Cloudflare,,,,Anti-LGBT,TC Family (Traverse City; MI),https://tcfamily.org/
WordPress,Nginx,PHP,,,,Nginx,Hate Music & Neo-Nazi,Third Reich Books,https://third-reich-books.com/
,,,Cloudflare,,,,Anti-Muslim,Bomb Islam,https://www.bitchute.com/channel/bombislamdotcom/
,Apache,,,,,,Anti-Muslim,American Constitution Center,https://www.americanconstitutioncenter.org/
WordPress,Nginx,PHP,Sucuri,,,Nginx,Hate Music & Neo-Nazi,nan,https://whiterabbitradio.net/
,Nginx,PHP,,,,Nginx,Anti-Muslim,Christian Action Network,https://christianaction.org/
WordPress,,PHP,Cloudflare,,,,White Nationalist,The Right Stuff,https://therightstuff.biz/
WordPress,Apache,PHP,,,,,White Nationalist,American Freedom Union,http://www.americanfreedomunion.com/
,LiteSpeed,,,,,,Hate Music & Neo-Nazi,New Order,https://www.theneworder.org/
,IIS,,Amazon Cloudfront,,Amazon Web Services,,Anti-Muslim,Radio Jihad/Global Patriot Radio,https://www.blogtalkradio.com/global-patriot-radio
,IIS,,,,,,Rad Catholics,OMNI Christian Book Club,http://www.omnicbc.com/
WordPress,Apache,PHP,,,,,Black Nationalist,Nation of Islam,http://mosque74.org/
WordPress,Nginx,PHP,Sucuri,,,Nginx,Anti-Muslim,Jihad Watch,https://www.jihadwatch.org/
WordPress,Nginx,PHP,Sucuri,,,Nginx,White Nationalist,White Rabbit Radio,https://whiterabbitradio.net/
Drupal,Apache,PHP,,,,,Rad Catholics,Christ or Chaos,http://christorchaos.com/
,Apache,,,,,,White Nationalist,Patriotic Flags,https://www.patriotic-flags.com/
,Apache,,,,,,Christian Identity,Christ Assembly,http://christsassembly.com/
,,,Cloudflare,,,,White Nationalist,Stormfront,https://www.stormfront.org/forum/
,Phusion Passenger,,Cloudflare,,,,Hate Music & Neo-Nazi,Behold Barbarity,http://beholdbarbarity.storenvy.com/
WordPress,,PHP,Cloudflare,,,,Anti-Muslim,Faith Freedom,http://www.faithfreedom.org/
Drupal,Apache,PHP,,,,,Christian Identity,Kinsman Redeemer Ministries,http://kinsmanredeemer.com/
,Apache,,,,,,Black Nationalist,Nation of Islam,http://muhammadstemple12.faithweb.com/
,,,,,,,Hate Music & Neo-Nazi,nan,http://bootsandbraces.ning.com
,,,,,,,Black Nationalist,Nation of Islam,http://www.noimosque32.com/
,OpenGSE,Java,,,,,Anti-Muslim,Foundation for Advancing Christian Truth,http://www.acts17.net/
,,,,,,,Rad Catholics,"Catholic Family News/Catholic Family Ministries, Inc.",http://www.cfnews.org/
,"Nginx, OpenResty","Lua, PHP",,,,Nginx,General Hate,Active Democracy,http://active-democracy.com/
WordPress,Nginx,,,,Automattic,Nginx,Neo-Confederate,Western Rifle Shooters,https://westernrifleshooters.wordpress.com/
Drupal,Nginx,PHP,,,,Nginx,Holocaust Denial,Institute for Historical Review,http://ihr.org/
,OpenGSE,Java,,,,,Rad Catholics,Robert Sungenis,https://www.robertsungenis.org/
WordPress,Nginx,PHP,Sucuri,,,Nginx,White Nationalist,Occidental Observer,https://www.theoccidentalobserver.net/
,,,,,,,Hate Music & Neo-Nazi,Parasitic Records,http://parasiticrecords.bigcartel.com/
WordPress,Nginx,PHP,,,SiteGround,Nginx,General Hate,Sharkhunters International,https://sharkhunters.com/
WordPress,,PHP,Cloudflare,,Flywheel,,General Hate,Sons of Liberty Media (formerly You Can Run But You Cannot Hide),https://sonsoflibertymedia.com/
Drupal,Apache,PHP,,,,,Anti-Muslim,ACT for America,https://www.actforamerica.org/
,Apache,,,,,,Christian Identity,National Prayer Network,https://truthtellers.org/
WordPress,Apache,PHP,Incapsula,,,,General Hate,Reformation-Bible Puritan-Baptist Church/Vatican Assassins,https://vaticanassassins.org/
,,,,,,,General Hate,Bill Keller Ministries,https://liveprayer.com/index.cfm
Wix,,,,,,,Black Nationalist,Black Riders Liberation Party,https://2servethapeople.wixsite.com/brlp
Wix,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Vinland Clothing,https://www.vinlandclothing.com/
,Apache,,,,,,Hate Music & Neo-Nazi,nan,https://whitenations.com/
Drupal,,PHP,Cloudflare,,,,Christian Identity,Non-Universal Teaching Ministries,https://emahiser.christogenea.org/
WordPress,Nginx,PHP,,,,Nginx,General Hate,European-American Evangelistic Crusades,https://www.eaec.org/
,,,"Fastly, Cloudflare",,GitHub Pages,,Anti-Muslim,David Horowitz Freedom Center,https://www.horowitzfreedomcenter.org/
,Apache,,,,,,Christian Identity,Mission to Israel ,https://www.missiontoisrael.org/
,OpenGSE,Java,,,,,Hate Music & Neo-Nazi,nan,http://whitereference.blogspot.hu/
WordPress,LiteSpeed,PHP,,,,,White Nationalist,Heritage and Destiny,http://www.efp.org.uk/
,Nginx,,,,,Nginx,Holocaust Denial,Campaign for Radical Truth in History,https://www.revisionisthistory.org/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,National Socialist Movement,https://www.nsm88.org/
WordPress,Apache,PHP,,,,,Anti-LGBT,Word Congress of Families,http://profam.org/
,,,,,,,General Hate,Holy Nation of Odin,https://sonsofodin1519.org/
,Apache,,,,,,Holocaust Denial,Andrew Carrington Hitchcock,https://andrewcarringtonhitchcock.com/
WordPress,Nginx,PHP,,,,Nginx,Anti-LGBT,Illinois Family Institute,https://illinoisfamily.org/
WordPress,,PHP,Cloudflare,,,,Neo-Confederate,Florida League of the South,https://freeflorida.org/
,,PHP,Cloudflare,,,,Hate Music & Neo-Nazi,Tightrope Records,https://tightroperecords.com/catalog/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Never Surrender Records,https://neversurrenderrecords.com/
WordPress,Nginx,PHP,,,WP Engine,Nginx,Anti-LGBT,Center for Family and Human Rights (C-Fam),https://c-fam.org/
WordPress,Nginx,PHP,,,WP Engine,Nginx,Anti-LGBT,Family Watch International,https://familywatch.org/
WordPress,Apache,PHP,,,,,Neo-Confederate,Dixie Outfitters,http://dixieoutfitters.com/pages/blog/category/news/interesting-email/
WordPress,Apache,PHP,,,,,Black Nationalist,Nation of Islam,http://noidetroit.org/
,,,,,,,Hate Music & Neo-Nazi,Death Oracle Productions,https://deathoracle.bigcartel.com/
WordPress,Nginx,PHP,,,,Nginx,Anti-LGBT,ATLAH World Missionary Church,https://atlah.org/amn4/
,Apache,,,,,,Hate Music & Neo-Nazi,Micetrap Distribution,https://www.combat18.com/
,Apache,,,,,,Hate Music & Neo-Nazi,Micetrap Distribution,https://www.combat18.com/
Craft CMS,,,Cloudflare,,,,Anti-LGBT,Chalcedon Foundation,https://chalcedon.edu/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,The Creativity Movement,https://creativitymovement.net/
,,,Cloudflare,,,,KKK,Ku Klos Knights of the Ku Klux Klan,https://kuklosknights.com/
,,,Cloudflare,,,,Anti-Muslim,Stop the Islamization of the World,http://www.siotw.org/
,"Nginx, OpenResty",Lua,,,,Nginx,Rad Catholics,Catholic Counterpoint,http://www.catholiccounterpoint.com/
,,,,,,,Anti-Muslim,Fortress of Faith,http://www.fortressoffaith.org/
WordPress,Apache,PHP,,,,,Black Nationalist,Nation of Islam,https://noirochester.org/
,Apache,,,,,,Rad Catholics,Slaves of the Immaculate Heart of Mary,https://catholicism.org/
,IIS,,,,,,Anti-LGBT,Traditional Values Coalition,http://www.traditionalvalues.org
,,,,,,,White Nationalist,Radix,http://www.radixjournal.com/
,OpenGSE,Java,,,,,White Nationalist,Alternative Right,http://alternative-right.blogspot.com/
,"Nginx, OpenResty",Lua,,,,Nginx,Anti-Muslim,Islamthreat.com,http://islamthreat.com/
WordPress,Nginx,PHP,Sucuri,,Liquid Web,Nginx,Anti-Muslim,American Freedom Defense Initiative,https://gellerreport.com/
WordPress,Nginx,PHP,Sucuri,,,Nginx,Anti-Muslim,Center for Security Policy,https://www.centerforsecuritypolicy.org/
WordPress,Nginx,PHP,,,,Nginx,Anti-LGBT,Pass the Salt Ministries,https://coachdavelive.com/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,nan,https://reviewskart.co.uk/
,Nginx,,Sucuri,,,Nginx,Black Nationalist,Nation of Islam,https://noihouston.org/
WordPress,Apache,PHP,,,,,Christian Identity,David James Boston,https://davidjamesboston.com/
WordPress,"Nginx, OpenResty","PHP, Lua",,,,Nginx,Anti-Muslim,American Freedom Alliance ,https://americanfreedomalliance.org/
,,PHP,Cloudflare,,,,Hate Music & Neo-Nazi,Panzerfaust Records,https://tightroperecords.com/catalog/
,Nginx,,,,,Nginx,White Nationalist,VDARE,https://vdare.com/solicitations/never-kneel-to-propaganda-help-indpendent-media-survive
WordPress,"Nginx, OpenResty","PHP, Lua",,,,Nginx,Black Nationalist,"Israelite Church of God in Jesus Christ, The",http://www.thecomforter.info/main/
WordPress,,PHP,Cloudflare,,WP Engine,,Anti-Muslim,Clarion Project,https://clarionproject.org/
,"Nginx, OpenResty",Lua,,,,Nginx,Hate Music & Neo-Nazi,Stalhelm Records,http://stahlhelmrecords.tumblr.com/
,"Nginx, OpenResty",Lua,,,,Nginx,Hate Music & Neo-Nazi,Aryan Terror Brigade,http://aryanterrorbrigade.tumblr.com/
WordPress,Apache,PHP,,,,,Anti-LGBT,Verity Baptist Church,https://veritybaptist.com/
,OpenGSE,Java,,,,,Anti-Muslim,Bosch Fawstin,http://fawstin.blogspot.com/
WordPress,,PHP,Cloudflare,,,,White Nationalist,Counter-Currents,https://www.counter-currents.com/
WordPress,,PHP,Cloudflare,,,,Anti-Muslim,Religious Awareness Network,https://religiousfreedomcoalition.org/
,Apache,,,,,,Hate Music & Neo-Nazi,Micetrap Distribution,https://www.combat18.com/
,,,,,,,Hate Music & Neo-Nazi,Crew38 & Hammerskin Nation website,http://hammerskins.net/
,,,,,,,Anti-Immigrant,Borderkeepers of Alabama,http://www.borderkeepersofalabama.org
,,,,,,,KKK,Original Knight Riders Knights of the Ku Klux Klan,https://www.originalknightriders.net/
,,,,,,,KKK,Mississippi White Kngihts,http://mississippiwhiteknights.com/firstpage.htm
,,,,,,,Holocaust Denial,A light on Campus,http://www.alightoncampus.com
,,,,,,,Hate Music & Neo-Nazi,American Defense Records,http://www.bulldogaggression.com/
,,,,,,,Anti-LGBT,Abiding Truth Ministries,http://www.defendthefamily.com
,,,,,,,Black Nationalist,Nation of Islam,http://www.noidallas.org/
,,,,,,,Hate Music & Neo-Nazi,Micetrap Distribution,http://radiowhite.net/
,,,,,,,Black Nationalist,Nation of Islam,http://www.mosque34.org/
,,,,,,,Neo-Confederate,Florida Fire Eater,https://floridafireeater.com/
,,,,,,,Hate Music & Neo-Nazi,Keystone United/Keystone State Skinheads,http://myforum.kss2001.com/
,,,,,,,Christian Identity,Divine Truth Ministries,http://divine-truth.org/
,,,,,,,White Nationalist,Traditionalist Worker Party,http://www.tradworker.org/
,,,,,,,Anti-LGBT,"Faith Baptist Church, Greenville, GA",http://faithbaptistchurchprimrose.com
,,,,,,,KKK,Knights of the White Disciples,http://www.knightsofthewhitedisciples.com
,,,,,,,Hate Music & Neo-Nazi,nan,http://www.awsnetwork.org
,,,,,,,Black Nationalist,Nation of Islam,http://mm29.org/
,,,,,,,KKK,Nordic Order Knights,http://www.nok311.com/
,,,,,,,General Hate,As-Sabiqun,http://sabiqun.org/
,,,,,,,Anti-LGBT,MassResistance Missouri (chapter),http://www.massresistancemo.org
,,,,,,,Hate Music & Neo-Nazi,Resistance Records,http://www.resistance.com/site/
,,,Sucuri,,,,Black Nationalist,Israel United In Christ,http://israelunite.org/
,,,,,,,Anti-LGBT,Virginia MassResistance (chapter),http://www.virginiamassresistance.org
,,,,,,,Hate Music & Neo-Nazi,Golden State Skinheads/Solidarity,http://www.goldenstateskinheads.net/forum/
,,,,,,,Hate Music & Neo-Nazi,Hooligan Street Merch,http://www.hooliganstreetmerch.com/
,,,,,,,General Hate,Invictus Books,http://stores.invictusbooks.com/
,,,,,,,Black Nationalist,Nation of Islam,http://noibuffalo.org/
,,,,,,,Anti-LGBT,Americans for Truth about Homosexuality,http://www.americansfortruth.com
,,,,,,,KKK,United Dixie White Knights,https://sites.google.com/site/uniteddixiewhiteknights/home
,,,,,,,White Nationalist,Washington Summit Publishers,http://www.washsummit.com/
,,,,,,,General Hate,Rense Radio Network,http://www.renseradio.com/
,,,,,,,Anti-LGBT,Citizens for Community Values,http://www.ccv.org
,,,,,,,Hate Music & Neo-Nazi,Werewolf 88,https://sites.google.com/site/werwolfeightyeight
,,,,,,,Neo-Confederate,Dixie Republic,http://dixierepublic.com/
,,,,,,,Hate Music & Neo-Nazi,National Socialist Freedom Movement,https://nsfm.sharepoint.com/Pages/default.aspx
,,,,,,,Hate Music & Neo-Nazi,Antipathy Records,http://www.antipathyrecords.com/
,,,,,,,General Hate,Jewish Task Force,https://jtf.org/
,,,,,,,Black Nationalist,Nation of Islam,http://www.pghmosque22.org/
,,,,,,,White Nationalist,Occidental Quarterly,https://www.toqonline.com/
,,,,,,,Hate Music & Neo-Nazi,Keystone United/Keystone State Skinheads,https://keystone2001united.wordpress.com/
,,,,,,,KKK,Christian American White Knights,https://sites.google.com/site/americanchristianwhiteknights/
,Apache,,,,,,Anti-Immigrant,American Immigration Control Foundation,http://www.immigrationcontrol.com/
,,,,,,,Anti-LGBT,Windsor Hills Baptist Church (OK),http://www.windorhills.org
,,,,,,,Anti-Muslim,Silver Bullet Gun Oil,http://www.silverbulletgunoil.net/
,,,,,,,KKK,Church of the National Knights of the Ku Klux Klan,http://www.cnkkkk.net/
,,,,,,,KKK,White Knights of the Ku Klux Klan of America,https://www.whiteknightsofthekukluxklanofamerica.com/
,,,,,,,White Nationalist,American Eagle Party,http://americaneagleparty.com/
,,,,,,,Hate Music & Neo-Nazi,Battalion 14,http://www.b14usa.org/
,,,,,,,KKK,Patriotic Brigade Knights of the Ku Klux Klan,http://www.knightskkk.net/
,Apache,,,,,,White Nationalist,Scott-Townsend Publishers,http://www.scott-townsend.com/
,Apache,,,,,,Anti-Immigrant,American Border Patrol,http://www.americanborderpatrol.com/
,Apache,,,,,,Rad Catholics,IHS Press,http://www.ihspress.com/index1.htm
,Apache,,,,,,Christian Identity,Church of Israel,http://www.churchofisrael.org/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Aryan Terror Brigade,http://www.atb318.com/
,Apache,,,,,,General Hate,Aggressive Christianity,http://www.aggressivechristianity.net/
,,,,,,,Black Nationalist,Nation of Islam,https://muhammadmosque7c.org/
,,,,,,,Black Nationalist,Nation of Islam,http://shondelenterprise.wix.com/mosque-97#!contact
,,,,,,,Anti-LGBT,American Family Association,https://www.afa.net/
Drupal,Nginx,PHP,,,Pantheon,Nginx,Anti-Immigrant,Federation for American Immigration Reform,https://www.fairus.org/
,,,,,,,Hate Music & Neo-Nazi,Label 56,https://www.facebook.com/Label-56-LLC-577266465630487/
,IIS,,,,,,Anti-Muslim,Altra Firearms,http://www.altrafirearms.com/
,,,,,,,Hate Music & Neo-Nazi,Gallows Tree Wotanvolk Alliance,https://www.facebook.com/gallowstreewotansvolk/
WordPress,Nginx,PHP,"jsDelivr, Cloudflare",,Pantheon,Nginx,Anti-Muslim,Political Islam,https://www.politicalislam.com/
,,,,,,,Hate Music & Neo-Nazi,Aryan Nation-Sadistic Souls MC/Black & Silver Solution,https://www.facebook.com/Sadistic-Souls-MC-792247310797582/
