1,22,27,31,57,62,64,Ideology,Group,Website
,Apache,PHP,,,,,Hate Music & Neo-Nazi,Nuclear War Now Productions,http://www.nwnprod.com/forum/viewforum.php?f=2
,Apache,,,,,,Christian Identity,Virginia Publishing Company,http://www.richardhoskins.com/
,Apache,,,,,,Holocaust Denial,Reporter's notebook,http://www.reportersnotebook.com/
,,,,,,,Hate Music & Neo-Nazi,Label 56,https://www.facebook.com/Label-56-LLC-577266465630487/
WordPress,Nginx,PHP,,,SiteGround,Nginx,General Hate,Sharkhunters International,https://sharkhunters.com/
,,,,,,,Hate Music & Neo-Nazi,Micetrap Distribution,https://www.facebook.com/micetrap
,,,,,,,Black Nationalist,Nation Of Islam,http://stocktonnoi.wix.com/info#!__stockton---nation-of-islam/contact
,,,,,,,Hate Music & Neo-Nazi,Death Oracle Productions,https://www.facebook.com/Death-Oracle-Productions-759295887436602/
,,,,,,,Hate Music & Neo-Nazi,Gallows Tree Wotanvolk Alliance,https://www.facebook.com/gallowstreewotansvolk/
Drupal,Apache,PHP,,,,,Christian Identity,Fellowship of God's Covenant People,http://fgcp.org/
,IIS,CFML,Cloudflare,,,,Hate Music & Neo-Nazi,Stalhelm Records,https://www.hugedomains.com/domain_profile.cfm?d=stahlhelmrecords&e=com
,Apache,,,,,,General Hate,National Prayer Network,https://truthtellers.org/index.html
,,PHP,Cloudflare,,,,KKK,Rebel Brigade Knights of the Ku Klux Klan,http://rebelbrigadeknightstrueinvisibleempire.yolasite.com
,Apache,,,,,,Black Nationalist,Nation of Islam,https://wildcard.hostgator.com/
,IIS,,,,,,General Hate,Chick Publications,https://www.chick.com/
GoDaddy Website Builder,,,,,,,General Hate,Holy Nation of Odin,https://sonsofodin1519.org/
,Apache,,,,,,General Hate,Power of Prophecy,https://www.texemarrs.com/
,OpenGSE,"Python, Java",,,,,Black Nationalist,Nation of Islam,http://asgsouthwest.blogspot.com/2010/05/nation-of-islam-meeting-times.html
WordPress,,PHP,Cloudflare,,Flywheel,,General Hate,Sons of Liberty Media (formerly You Can Run But You Cannot Hide),https://sonsoflibertymedia.com/
,Apache,,,,,,Christian Identity,Kingdom Identity Ministries,http://www.kingidentity.com/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,nan,http://whitenationalists.com/
,Apache,,,,,,Black Nationalist,All Eyes On Egypt Bookstore,http://www.aeoebookstore.com/
,,,Cloudflare,,,,Holocaust Denial,Righteous Jews,https://www.righteousjews.org/
Wix,,,,,,,Black Nationalist,Nation of Islam,http://www.mosque36.com/
,IIS,,Cloudflare,,,,Black Nationalist,Nation of Islam,https://v1.noi.org/reg_western_region.htm
,Apache,,,,,,Christian Identity,Mission to Israel ,https://www.missiontoisrael.org/
WordPress,Apache,PHP,,,,,Christian Identity,Christian Identity Church,http://christianidentitychurch.net/
,,,,,,,Hate Music & Neo-Nazi,United Riot Records,https://www.facebook.com/unitedriotrecords/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,The Creativity Alliance,https://creativityalliance.com/
,LiteSpeed,,,,,,Hate Music & Neo-Nazi,New Order,https://www.theneworder.org/
WordPress,Apache,PHP,,,,,Black Nationalist,Nation of Islam,http://mosque74.org/
,,,,,,,Hate Music & Neo-Nazi,American Defense Records,https://www.facebook.com/disarmnever/
,IIS,CFML,Cloudflare,,,,Hate Music & Neo-Nazi,Supreme White Alliance,https://www.hugedomains.com/domain_profile.cfm?d=swa43&e=com
,OpenGSE,"Python, Java",,,,,Black Nationalist,Nation of Islam,http://muhammadmosque69.blogspot.com/
,OpenGSE,"Python, Java",,,,,Black Nationalist,Nation of Islam,http://www.noigrandrapids.com/
,Apache,,,,,,Hate Music & Neo-Nazi,nan,https://www.combat18.com/
WordPress,Nginx,PHP,,,Automattic,Nginx,Neo-Confederate,Western Rifle Shooters,https://westernrifleshooters.wordpress.com/
GoDaddy Website Builder,Apache,,,,,,General Hate,Concerned Citizens and Friends of Illegal Immigration Law Enforcement,http://www.ccfiile.com/
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,OSI Temple,http://osi-temple.blogspot.com/
,,,,,,,Neo-Confederate,The Right Voice,http://www.therightvoice.net/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,National Socialist Movement,https://www.nsm88.org/
WordPress,,PHP,Cloudflare,,,,White Nationalist,The Right Stuff,https://therightstuff.biz/
,Apache,,,,,,General Hate,Official Street Preachers,https://www.officialstreetpreachers.com/
WordPress,,PHP,Cloudflare,,,,Neo-Confederate,The Right Stuff Radio,https://therightstuff.biz/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,The Creativity Movement,https://creativitymovement.net/
WordPress,Apache,PHP,,,,,Holocaust Denial,The Realist Report,http://therealistreport.com/
,"Nginx, Microsoft HTTPAPI",,,,,Nginx,KKK,United White Knights of the Ku Kiux Klan,http://www.texaskkk.com/
,,,,,,,Hate Music & Neo-Nazi,National Alliance Reform and Restoration Group,https://www.facebook.com/natallreform/
,,,,,,,Hate Music & Neo-Nazi,Wolf Hook Life Clothing,https://www.facebook.com/wolfhookpride
Squarespace,,,,,,,Rad Catholics,Culture Wars/Fidelity Press,https://culturewars.com/
WordPress,,PHP,Cloudflare,,,,Neo-Confederate,League of the South,https://leagueofthesouth.com/
,Apache,,,,,,Hate Music & Neo-Nazi,Vanguard Productions,http://vanguard-productions.com/home/
,Apache Traffic Server,,,,,,General Hate,Cultural Studies Press,http://www.culturalstudiespress.com/
WordPress,Nginx,PHP,,,,Nginx,White Nationalist,NPI,https://nationalpolicy.institute/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Aryan Nations - Louisiana ,http://www.aryan-nations.org/
,,,Cloudflare,,,,Black Nationalist,All Eyes On Egipt Bookstore,https://alleyesonegiptchgo.webs.com/
,,PHP,Cloudflare,,,,Hate Music & Neo-Nazi,Panzerfaust Records,https://tightroperecords.com/catalog/
,,,Cloudflare,,,,Holocaust Denial,Deir Yassin Remembered,https://www.deiryassin.org/
GoDaddy Website Builder,,,,,,,Hate Music & Neo-Nazi,Heathens Motorcycle Club,https://heathensmf.com/
WordPress,Nginx,PHP,,,Automattic,Nginx,Neo-Confederate,Shotgun Barrel Straight ,https://shotgunwildatheart.wordpress.com/
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,Maryland National Socialist Party,http://mdnaziparty.blogspot.com/
,,,,,,,Hate Music & Neo-Nazi,Vanguard Productions,https://www.facebook.com/VanguardProdVinland/
,,CFML,,,,,General Hate,Bill Keller Ministries,https://liveprayer.com/index.cfm
MyWebsite,Apache,,,,,,Black Nationalist,Nation of Islam,http://www.noicharlestonsc.org/
,Nginx,,,,,Nginx,Black Nationalist,Nation of Islam,https://addr.ws/the-nation-of-islam-lexington-ky-study-group--lexington-us.html
WordPress,LiteSpeed,PHP,,,,,White Nationalist,BUGS,http://www.whitakeronline.org/blog/
WordPress,Nginx,PHP,,,,Nginx,Holocaust Denial,Truth Will Out Films,https://twofilms.tv/
Wix,Nginx,,,,,Nginx,General Hate,Insight USA,https://www.insightusa.us/
,Nginx,,,,,Nginx,Holocaust Denial,The End of Zion ,https://theendofzion.com/
WordPress,Nginx,PHP,,,Automattic,Nginx,Hate Music & Neo-Nazi,Keystone United/Keystone State Skinheads,https://keystone2001united.wordpress.com/
,,,Cloudflare,,,,Neo-Confederate,Kentucky League of the South,https://kentuckyleagueofthesouth.webs.com/
,,,,,,,Hate Music & Neo-Nazi,Hells Headbangers,https://www.facebook.com/hellsheadbangers
,Apache,,,,,,Christian Identity,Christ Assembly,http://christsassembly.com/
,,,Cloudflare,,,,Black Nationalist,Uncle Sams Misguided Children,https://unclesamsmisguidedchildren.com/
,,,,,,,Hate Music & Neo-Nazi,Stalhelm Records,https://www.facebook.com/northerndestroyer
WordPress,Apache,PHP,,,,,Black Nationalist,Nation of Islam,https://noidc.org/
GoDaddy Website Builder,,,,,,,Neo-Confederate,The Free Magnolia,https://freemagnolia.org/
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,United Riot Records,http://unitedriotrecords.blogspot.com/
WordPress,Nginx,PHP,,,Automattic,Nginx,Hate Music & Neo-Nazi,"Golden Dawn - Astoria, NY",https://xaameriki.wordpress.com/
WordPress,Nginx,PHP,,,,Nginx,Christian Identity,Euro Folk Radio,http://eurofolkradio.com/
WordPress,LiteSpeed,PHP,,,,,White Nationalist,Heritage and Destiny,http://www.efp.org.uk/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,Nuclear War Now Productions,http://www.nwnprod.com/
,Apache,,,,,,Hate Music & Neo-Nazi,White Aryan Resistance,http://www.resist.com/
,Apache,PHP,,,,,Rad Catholics,IHM Media,http://ihmmedia.net/
,Apache,,,,,,Rad Catholics,Tradition in Action,https://www.traditioninaction.org/
,Apache,,,,,,Black Nationalist,Nation of Islam,https://etrigg.com/location/muhammad-mosque-3-4202-n-teutonia-ave-53209-milwaukee-united-states/2988321/
WordPress,Apache,PHP,,,,,Black Nationalist,Nation of Islam,http://www.noiatlanta.org/
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,nan,http://whitereference.blogspot.hu/
,,,Cloudflare,,,,KKK,Ku Klos Knights of the Ku Klux Klan,https://kuklosknights.com/
WordPress,,PHP,Cloudflare,,,,General Hate,American Free Press,https://americanfreepress.net/
WordPress,Nginx,PHP,,,WP Engine,Nginx,Neo-Confederate,Dixie Republic,https://dixierepublic.com/
WordPress,,PHP,Cloudflare,,SiteGround,,General Hate,American Clarion,https://www.americanclarion.com/
,Apache,,,,,,General Hate,Ozark Craft LC,http://puttroopsontheborder.com/ozarkcraft.html
WordPress,Nginx,PHP,,,Automattic,Nginx,Neo-Confederate,Association for Appalachia,https://appalachianrepublic.wordpress.com/
WordPress,Nginx,PHP,,,Automattic,Nginx,Hate Music & Neo-Nazi,Attack the System,https://attackthesystem.com/
WordPress,,PHP,Cloudflare,,,,Neo-Confederate,Occidental Dissent,http://www.occidentaldissent.com/
,,,,,,,Hate Music & Neo-Nazi,Death Oracle Productions,https://deathoracle.bigcartel.com/
WordPress,Apache,PHP,,,,,KKK,White Pride Radio,https://altrighttv.com/
,"Nginx, OpenResty",Lua,,,,Nginx,Hate Music & Neo-Nazi,United Riot Records,https://www.tumblr.com/search_no_results
,,,,,,,Hate Music & Neo-Nazi,Darkness Attacks Records,https://officialblackwitchery.bigcartel.com/
,,,Cloudflare,,,,KKK,Great Lake Knights,https://greatlakesknights.my-free.website/
WordPress,,PHP,Cloudflare,,SiteGround,,White Nationalist,Identity Evropa,https://www.identityevropa.com/
WordPress,Apache,PHP,Incapsula,,,,General Hate,Reformation-Bible Puritan-Baptist Church/Vatican Assassins,https://vaticanassassins.org/
,OpenGSE,"Python, Java",,,,,Rad Catholics,Robert Sungenis,https://www.robertsungenis.org/
,,,,,,,Hate Music & Neo-Nazi,United Riot Records,https://unitedriotrecords.bigcartel.com/
WordPress,Apache,PHP,,,,,Neo-Confederate,Southern Agrarian,http://www.southernagrarian.com/
,,,,,,,Hate Music & Neo-Nazi,MSR Productions,https://www.facebook.com/msr19882/
,,,,,,,White Nationalist,Foundation for the Marketplace of Ideas,http://www.freedomfront.org/
Wix,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Vinland Clothing,https://www.vinlandclothing.com/
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,Parasitic Records,http://parasiticrecords.blogspot.com/
,"Phusion Passenger, Apache",,,,,,Hate Music & Neo-Nazi,Stomp Out Child Abuse Compilation,http://punishmentblockrecords.limitedrun.com/
WordPress,,PHP,Cloudflare,,,,KKK,Traditionalist American Knights of the Ku Klux Klan,http://traditionalistamericanknights.com/
WordPress,,PHP,Cloudflare,,,,White Nationalist,Occidental Dissent,http://www.occidentaldissent.com/
,Apache,,,,,,Christian Identity,Yahushua DSCI Ministry,http://www.yahushuadsciministry.us/
,Apache,PHP,,,,,Hate Music & Neo-Nazi,MSR Productions,https://msrproductions.com/
WordPress,Nginx,PHP,,,,Nginx,White Nationalist,Washington Summit Publishers,https://washsummit.com/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Hells Headbangers,https://hellsheadbangers.bandcamp.com/
WordPress,Nginx,PHP,,,Automattic,Nginx,KKK,White Knights of Justice,https://whiteknightsofjustice.wordpress.com/
,IIS,PHP,,,,,White Nationalist,Rense Radio,https://rense.com//
,OpenGSE,"Python, Java",,,,,Neo-Confederate,Free North Carolina,https://freenorthcarolina.blogspot.com/
GoDaddy Website Builder,,,,,,,Hate Music & Neo-Nazi,Aryan Nation-Sadistic Souls Skinheads/Black & Silver Solution,https://www.sadisticsoulsmc.org/
,IIS,CFML,Cloudflare,,,,Hate Music & Neo-Nazi,Supreme White Alliance,https://www.hugedomains.com/domain_profile.cfm?d=swa43&e=com
,Apache,PHP,,,,,Hate Music & Neo-Nazi,ISD Records,http://www.isdrecords.com/
WordPress,"Nginx, OpenResty","PHP, Lua",,,,Nginx,Hate Music & Neo-Nazi,National Alliance,https://natall.com/
Drupal,,PHP,Cloudflare,,,,Christian Identity,Non-Universal Teaching Ministries,https://emahiser.christogenea.org/
WordPress,,PHP,Cloudflare,,,,Neo-Confederate,Florida League of the South,https://freeflorida.org/
,Apache,PHP,,,,,Hate Music & Neo-Nazi,Hate Crime Streetwear/Records,http://www.hcstreetwear.net/shop/
GoDaddy Website Builder,,,,,,,KKK,United Klans of America,http://www.theuka.us/
WordPress,,PHP,Cloudflare,,WP Engine,,White Nationalist,American Renaissance,https://www.amren.com/
WordPress,,PHP,Cloudflare,,,,Hate Music & Neo-Nazi,American Nazi Party,https://www.americannaziparty.com/
WordPress,Nginx,PHP,Sucuri,,,Nginx,Hate Music & Neo-Nazi,nan,https://whiterabbitradio.net/
,,,Cloudflare,,,,KKK,Great Lakes Knights,https://greatlakesknights.my-free.website/
WordPress,Apache,PHP,,,,,Christian Identity,The Watchman files,http://thewatermanfiles.com/
,,,,,,,Hate Music & Neo-Nazi,Nuclear War Now Productions,https://www.facebook.com/Nuclear-War-Now-Productions-114864651994141/
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,Desastrious Records,http://desastrious.blogspot.com/
,,,Cloudflare,,,,KKK,East Coast Knights,https://www.eastcoastknightsofthetrueinvisibleempire.com/
Google Sites,OpenGSE,Java,,,,,KKK,Christian American White Knights,https://sites.google.com/site/americanchristianwhiteknights/
,IIS,CFML,Cloudflare,,,,Hate Music & Neo-Nazi,Crew38 & Hammerskin Nation forum,https://www.hugedomains.com/domain_profile.cfm?d=crew38&e=com
WordPress,Apache,PHP,,,,,Holocaust Denial,Barnes Review/Foundation for Economic Liberty,https://barnesreview.org/
,Phusion Passenger,Ruby,Cloudflare,,,,Hate Music & Neo-Nazi,Behold Barbarity,https://www.storenvy.com/?utm_campaign=store404redirect&utm_medium=redirect&utm_source=system
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,Soleil Moon Records,https://www.soleilmoon.com/
WordPress,Nginx,PHP,,,,Nginx,Holocaust Denial,Germar Rudolf,http://germarrudolf.com/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Parasitic Records,https://bandcamp.com/tag/parasitic-records
,OpenGSE,"Python, Java",,,,,Hate Music & Neo-Nazi,Werewolf 88,http://werwolf88radio.blogspot.com/
,Apache,,,,,,General Hate,a2z Publications,http://www.a2zpublications.com/
,,,,,,,Hate Music & Neo-Nazi,United Riot Records,http://www.angelfire.com/indie/unitedriotrecords/frameset.html
,Apache,PHP,,,,,Hate Music & Neo-Nazi,NS88 Video Division,http://www.ns88.com/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,nan,http://www.aryanblood.net/
WordPress,Nginx,,,,,Nginx,General Hate,European-American Evangelistic Crusades,https://www.eaec.org/
,Tengine,PHP,,,,,KKK,Texas Rebel Knights,https://www.texasrebelknightskkk.com/
,,PHP,Cloudflare,,,,Holocaust Denial,Inconvenient Truth,http://www.inconvenienthistory.com/
WordPress,,PHP,Cloudflare,,WP Engine,,Neo-Confederate,Faith And Heritage,http://faithandheritage.com/
,,,,,,,Hate Music & Neo-Nazi,Behold Barbarity,https://www.facebook.com/Behold-Barbarity-records-and-distro-297670707109170/
,,,,,,,Hate Music & Neo-Nazi,Hostile Class Productions,https://www.facebook.com/hostile.class
Joomla,"Nginx, OpenResty","Lua, PHP",,,,Nginx,General Hate,Active Democracy,http://active-democracy.com/
Drupal,Nginx,PHP,,,,Nginx,Holocaust Denial,Institute for Historical Review,http://ihr.org/
,,Python,"jsDelivr, Cloudflare",,,,Holocaust Denial,Committee for Open Debate on the Holocaust,https://codoh.com/
WordPress,Apache,PHP,,,,,White Nationalist,Traditionalist Youth Network,https://www.tradyouth.org/
,,,Cloudflare,,,,Black Nationalist,Nation of Islam,https://muhammadmosque24.webs.com/
,IIS,,,,,,Christian Identity,Divine International Church of the Web,https://www.revandrewangel.com/site/index.html
Squarespace,,,,,,,White Nationalist,H.L. Mencken Club,http://hlmenckenclub.org/
,"Phusion Passenger, Apache",,,,,,Hate Music & Neo-Nazi,Punishment Block Records,http://punishmentblockrecords.limitedrun.com/
WordPress,Apache,PHP,,,,,KKK,Soldiers Of the Cross Training Institute,http://sotctraininginstitute.com/
Drupal,Apache,PHP,,,,,Rad Catholics,Christ or Chaos,http://christorchaos.com/
,Apache,,,,,,Holocaust Denial,Focal Point Publications,http://www.fpp.co.uk/
,Apache,PHP,,,,,Hate Music & Neo-Nazi,The Creativity Movement,http://creativitymovement.net/forum/
Weebly,Apache,PHP,,,,,Hate Music & Neo-Nazi,Florida United ,http://floridaunited.weebly.com/
WordPress,,PHP,Cloudflare,,,,White Nationalist,Occidental Quarterly,https://www.toqonline.com/
,Nginx,Ruby,,,,Nginx,White Nationalist,VDARE,https://vdare.com/
Drupal,Apache,PHP,,,,,Christian Identity,Kinsman Redeemer Ministries,http://kinsmanredeemer.com/
WordPress,,PHP,Cloudflare,,,,White Nationalist,CCC,http://conservative-headlines.com/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Nuclear War Now Productions,https://nuclearwarnowproductions.bandcamp.com/
WordPress,Nginx,PHP,Sucuri,,,Nginx,White Nationalist,White Rabbit Radio,https://whiterabbitradio.net/
WordPress,Apache,PHP,,,,,Rad Catholics,Most Holy Family Monastery,https://www.mostholyfamilymonastery.com/
,LiteSpeed,,,,,,Hate Music & Neo-Nazi,nan,http://www.whitakeronline.org/
Wix,Nginx,,,,,Nginx,Christian Identity,America's Promise Ministries,https://www.americaspromiseministries.org/
WordPress,Nginx,PHP,Sucuri,,,Nginx,White Nationalist,Occidental Observer,https://www.theoccidentalobserver.net/
,Apache,,,,,,White Nationalist,Patriotic Flags,https://www.patriotic-flags.com/
,,PHP,Cloudflare,,,,White Nationalist,Stormfront,https://www.stormfront.org/forum/
WordPress,,PHP,Cloudflare,,,,General Hate,Jewish Task Force,https://jtf.org/
WordPress,Nginx,PHP,,,,Nginx,Hate Music & Neo-Nazi,Third Reich Books,https://third-reich-books.com/
WordPress,,PHP,,,,,Hate Music & Neo-Nazi,nan,http://bootsandbraces.ning.com
WordPress,Apache,PHP,,,,,White Nationalist,Northwest Front,http://northwestfront.org/
,Apache,,,,,,White Nationalist,Social Contract Press,http://www.thesocialcontract.com/
Joomla,Apache,PHP,,,,,General Hate,"Brother Nathanael Foundation, The",http://brothernathanaelfoundation.org/
,,PHP,Cloudflare,,,,Hate Music & Neo-Nazi,nan,http://www.thephora.net/forum/
WordPress,Apache,PHP,,,,,KKK,Knights of the KKK,http://kkk.bz/
WordPress,,PHP,Cloudflare,,WP Engine,,White Nationalist,Faith and Heritage,https://faithandheritage.com/
,,,,,,,KKK,Georgia Knight Riders,https://www.georgiaknightriderskkk.com/
,,,,,,,Christian Identity,The Christian Identity Forum,http://www.thechristianidentityforum.net/
,,,,,,,Hate Music & Neo-Nazi,NSM88 Records,http://nsm88records.com/theshop/
,,,,,,,White Nationalist,American Vanguard,https://american-vanguard.org/
,,,,,,,Neo-Confederate,Southern Future,https://southernfuture.com/
,"Nginx, OpenResty",Lua,,,,Nginx,Hate Music & Neo-Nazi,Aryan Terror Brigade,http://aryanterrorbrigade.tumblr.com/
,Apache,,,,,,Rad Catholics,Slaves of the Immaculate Heart of Mary,https://catholicism.org/
,Apache,,,,,,Hate Music & Neo-Nazi,Micetrap Distribution,https://www.combat18.com/
,Apache,,,,,,Hate Music & Neo-Nazi,Micetrap Distribution,https://www.combat18.com/
WordPress,Apache,PHP,,,,,White Nationalist,American Freedom Union,http://www.americanfreedomunion.com/
,,PHP,Cloudflare,,,,Hate Music & Neo-Nazi,Panzerfaust Records,https://tightroperecords.com/catalog/
WordPress,Apache,PHP,,,,,Rad Catholics,In the Spirit of Chartres Committee,https://isoc.ws/
WordPress,Apache,PHP,,,,,Holocaust Denial,Barnes Review/Foundation for Economic Liberty,https://barnesreview.org/
WordPress,Apache,PHP,,,,,Rad Catholics,Most Holy Family Monastery,https://www.mostholyfamilymonastery.com/
,Nginx,,,,,Nginx,White Nationalist,VDARE,https://vdare.com/
WordPress,Apache,PHP,,,,,Hate Music & Neo-Nazi,nan,https://reviewskart.co.uk/
,Apache,,,,,,Hate Music & Neo-Nazi,Micetrap Distribution,https://www.combat18.com/
WordPress,Apache,PHP,,,,,Christian Identity,Anglo-Saxon Israel,https://anglo-saxonisrael.com/
,"Nginx, OpenResty",Lua,,,,Nginx,Hate Music & Neo-Nazi,Stalhelm Records,http://stahlhelmrecords.tumblr.com/
,"Nginx, OpenResty",Lua,,,,Nginx,KKK,United Northern and Southern Knights of the Ku Klux Klan,http://ww7.unskkkk.com/
WordPress,Apache,PHP,,,,,Christian Identity,David James Boston,https://davidjamesboston.com/
WordPress,,PHP,Cloudflare,,,,White Nationalist,Counter-Currents,https://www.counter-currents.com/
,,,,,,,Hate Music & Neo-Nazi,nan,http://www.awsnetwork.org
,,,,,,,KKK,Nordic Order Knights,http://www.nok311.com/
,,,,,,,Hate Music & Neo-Nazi,National Socialist Freedom Movement,https://nsfm.sharepoint.com/Pages/default.aspx
,,,,,,,Hate Music & Neo-Nazi,Golden State Skinheads/Solidarity,http://www.goldenstateskinheads.net/
,,,,,,,Hate Music & Neo-Nazi,Golden State Skinheads/Solidarity,http://www.goldenstateskinheads.net/forum/
,,,,,,,KKK,Mississippi White Kngihts,http://mississippiwhiteknights.com/firstpage.htm
,,,,,,,Hate Music & Neo-Nazi,Antipathy Records,http://www.antipathyrecords.com/
,,,,,,,KKK,Knights of the White Disciples,http://www.knightsofthewhitedisciples.com
,,,,,,,Hate Music & Neo-Nazi,Aryan Strikeforce,http://www.aryanstrikeforce318.org/
,,,,,,,Hate Music & Neo-Nazi,Keystone United/Keystone State Skinheads,http://myforum.kss2001.com/
,,,,,,,Hate Music & Neo-Nazi,American Viking Clothing,http://americanvikings.us
,,,,,,,Holocaust Denial,A light on Campus,http://www.alightoncampus.com
,,,,,,,Hate Music & Neo-Nazi,American Defense Records,http://www.bulldogaggression.com/
,,,,,,,KKK,Church of the National Knights of the Ku Klux Klan,http://www.cnkkkk.net/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Never Surrender Records,https://neversurrenderrecords.com/
,,,,,,,Christian Identity,Divine Truth Ministries,http://divine-truth.org/
,,,,,,,Hate Music & Neo-Nazi,Battalion 14,http://www.b14usa.org/
,,,,,,,Hate Music & Neo-Nazi,Stomp Out Child Abuse Compilation,http://www.chesterstomp.com/store.html
,,,,,,,Hate Music & Neo-Nazi,Hooligan Street Merch,http://www.hooliganstreetmerch.com/
,,,,,,,KKK,Patriotic Brigade Knights of the Ku Klux Klan,http://www.knightskkk.net/
,,,,,,,KKK,White Knights of the Ku Klux Klan of America,https://www.whiteknightsofthekukluxklanofamerica.com/
,,,,,,,White Nationalist,Traditionalist Worker Party,http://www.tradworker.org/
,,,,,,,Hate Music & Neo-Nazi,Crew38 & Hammerskin Nation website,http://hammerskins.net/
,,,,,,,Hate Music & Neo-Nazi,Resistance Records,http://www.resistance.com/site/
,,,,,,,Hate Music & Neo-Nazi,Micetrap Distribution,http://radiowhite.net/
,,,,,,,Rad Catholics,"Catholic Family News/Catholic Family Ministries, Inc.",http://www.cfnews.org/
,,,,,,,KKK,Original Knight Riders Knights of the Ku Klux Klan,https://www.originalknightriders.net/
,Apache,,,,,,Christian Identity,Virginia Publishing Company,http://www.richardhoskins.com/
,,,,,,,Hate Music & Neo-Nazi,Vanguard Productions,https://www.facebook.com/VanguardProdVinland/
,,,,,,,Hate Music & Neo-Nazi,Behold Barbarity,https://www.facebook.com/Behold-Barbarity-records-and-distro-297670707109170/
,,,,,,,Hate Music & Neo-Nazi,Aryan Nation-Sadistic Souls MC/Black & Silver Solution,https://www.facebook.com/Sadistic-Souls-MC-792247310797582/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Aryan Terror Brigade,http://www.atb318.com/
,Nginx,,,,,Nginx,Hate Music & Neo-Nazi,Resistance Records,http://www.resistancerecords.com/
,,,,,,,Hate Music & Neo-Nazi,National Alliance Reform and Restoration Group,https://www.facebook.com/natallreform/
,,,,,,,White Nationalist,American Eagle Party,http://americaneagleparty.com/
,,,,,,,KKK,International Keystone Knights of the Ku Klux Klan,http://www.ikkkkk.org/
,Apache,,,,,,Hate Music & Neo-Nazi,NS Publications,http://nspublications.com/
,,,,,,,Hate Music & Neo-Nazi,White Aryan Resistance,http://www.resistance88.com/index1.htm#.Vv1YzJwrLIU
,Apache,,,,,,Christian Identity,Kingdom Identity Ministries,http://www.kingidentity.com/
,Apache,,,,,,Holocaust Denial,Irving Books,https://irvingbooks.com/xcart/home.php
,,,,,,,Hate Music & Neo-Nazi,Hells Headbangers,https://www.facebook.com/hellsheadbangers
,IIS,,,,,,Hate Music & Neo-Nazi,National Alliance Reform and Restoration Group,http://www.narrg.com/
,Apache,,,,,,Hate Music & Neo-Nazi,American Viking Clothing,https://www.americanvikings.com/
,Apache,,,,,,Hate Music & Neo-Nazi,Get Some 88,http://www.getsome88.com/
,Apache,,,,,,Christian Identity,Christ Assembly,http://christsassembly.com/
